category	mir	disease	pmid	description
lncRNA target	hsa-let-7a-1	Neoplasms [unspecific]	19211792	let-7a: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7a-2	Neoplasms [unspecific]	19211792	let-7a: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7a-3	Neoplasms [unspecific]	19211792	let-7a: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7b	Neoplasms [unspecific]	19211792	let-7b: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7c	Neoplasms [unspecific]	19211792	let-7c: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7d	Neoplasms [unspecific]	19211792	let-7d: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7e	Neoplasms [unspecific]	19211792	let-7e: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7f-1	Neoplasms [unspecific]	19211792	let-7f: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7f-2	Neoplasms [unspecific]	19211792	let-7f: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7g	Neoplasms [unspecific]	19211792	let-7g: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7i	Neoplasms [unspecific]	19211792	let-7i: Lin-28B transactivation is necessary for Myc-mediated let-7 repression and proliferation
lncRNA target	hsa-let-7g	Lung Neoplasms	19745602	increased with response to ionizing radiation when knockdown LIN28B
lncRNA target	hsa-let-7a-1	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7a-2	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7a-3	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7b	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7c	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7d	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7e	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7f-1	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7f-2	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7g	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7i	Neoplasms [unspecific]	20005451	Lin28-let7 modulates radiosensitivity of human cancer cells with activation of K-Ras
lncRNA target	hsa-let-7a	Retinal Degeneration	20935637	The opposing actions of Lin-28 and let-7 miRNAs on M¨¹ller glia differentiation and dedifferentiation are similar to that of embryonic stem cells and suggest novel targets for stimulating M¨¹ller glia dedifferentiation and retinal regeneration in mammals.
lncRNA target	hsa-let-7b	Retinal Degeneration	20935637	The opposing actions of Lin-28 and let-7 miRNAs on M¨¹ller glia differentiation and dedifferentiation are similar to that of embryonic stem cells and suggest novel targets for stimulating M¨¹ller glia dedifferentiation and retinal regeneration in mammals.
lncRNA target	hsa-let-7c	Retinal Degeneration	20935637	The opposing actions of Lin-28 and let-7 miRNAs on M¨¹ller glia differentiation and dedifferentiation are similar to that of embryonic stem cells and suggest novel targets for stimulating M¨¹ller glia dedifferentiation and retinal regeneration in mammals.
lncRNA target	hsa-let-7d	Retinal Degeneration	20935637	The opposing actions of Lin-28 and let-7 miRNAs on M¨¹ller glia differentiation and dedifferentiation are similar to that of embryonic stem cells and suggest novel targets for stimulating M¨¹ller glia dedifferentiation and retinal regeneration in mammals.
lncRNA target	hsa-let-7e	Retinal Degeneration	20935637	The opposing actions of Lin-28 and let-7 miRNAs on M¨¹ller glia differentiation and dedifferentiation are similar to that of embryonic stem cells and suggest novel targets for stimulating M¨¹ller glia dedifferentiation and retinal regeneration in mammals.
lncRNA target	hsa-let-7f	Retinal Degeneration	20935637	The opposing actions of Lin-28 and let-7 miRNAs on M¨¹ller glia differentiation and dedifferentiation are similar to that of embryonic stem cells and suggest novel targets for stimulating M¨¹ller glia dedifferentiation and retinal regeneration in mammals.
lncRNA target	hsa-let-7g	Retinal Degeneration	20935637	The opposing actions of Lin-28 and let-7 miRNAs on M¨¹ller glia differentiation and dedifferentiation are similar to that of embryonic stem cells and suggest novel targets for stimulating M¨¹ller glia dedifferentiation and retinal regeneration in mammals.
lncRNA target	hsa-let-7i	Retinal Degeneration	20935637	The opposing actions of Lin-28 and let-7 miRNAs on M¨¹ller glia differentiation and dedifferentiation are similar to that of embryonic stem cells and suggest novel targets for stimulating M¨¹ller glia dedifferentiation and retinal regeneration in mammals.
lncRNA target	hsa-let-7a	Neoplasms [unspecific]	21045151	"Our data provide evidence that cancer stem cells may arise through a ""reprogramming-like"" mechanism. A rebalancing of the LIN28/let-7 regulatory loop could be a novel therapeutic strategy to target ALDH1+ cancer stem cells."
lncRNA target	hsa-let-7b	Neoplasms [unspecific]	21045151	"Our data provide evidence that cancer stem cells may arise through a ""reprogramming-like"" mechanism. A rebalancing of the LIN28/let-7 regulatory loop could be a novel therapeutic strategy to target ALDH1+ cancer stem cells."
lncRNA target	hsa-let-7c	Neoplasms [unspecific]	21045151	"Our data provide evidence that cancer stem cells may arise through a ""reprogramming-like"" mechanism. A rebalancing of the LIN28/let-7 regulatory loop could be a novel therapeutic strategy to target ALDH1+ cancer stem cells."
lncRNA target	hsa-let-7d	Neoplasms [unspecific]	21045151	"Our data provide evidence that cancer stem cells may arise through a ""reprogramming-like"" mechanism. A rebalancing of the LIN28/let-7 regulatory loop could be a novel therapeutic strategy to target ALDH1+ cancer stem cells."
lncRNA target	hsa-let-7e	Neoplasms [unspecific]	21045151	"Our data provide evidence that cancer stem cells may arise through a ""reprogramming-like"" mechanism. A rebalancing of the LIN28/let-7 regulatory loop could be a novel therapeutic strategy to target ALDH1+ cancer stem cells."
lncRNA target	hsa-let-7f	Neoplasms [unspecific]	21045151	"Our data provide evidence that cancer stem cells may arise through a ""reprogramming-like"" mechanism. A rebalancing of the LIN28/let-7 regulatory loop could be a novel therapeutic strategy to target ALDH1+ cancer stem cells."
lncRNA target	hsa-let-7g	Neoplasms [unspecific]	21045151	"Our data provide evidence that cancer stem cells may arise through a ""reprogramming-like"" mechanism. A rebalancing of the LIN28/let-7 regulatory loop could be a novel therapeutic strategy to target ALDH1+ cancer stem cells."
lncRNA target	hsa-let-7i	Neoplasms [unspecific]	21045151	"Our data provide evidence that cancer stem cells may arise through a ""reprogramming-like"" mechanism. A rebalancing of the LIN28/let-7 regulatory loop could be a novel therapeutic strategy to target ALDH1+ cancer stem cells."
lncRNA target	hsa-let-7a-1	Breast Neoplasms	22081076	LIN28: A regulator of tumor-suppressing activity of let-7 microRNA in human breast cancer.
lncRNA target	hsa-let-7a-2	Breast Neoplasms	22081076	LIN28: A regulator of tumor-suppressing activity of let-7 microRNA in human breast cancer.
lncRNA target	hsa-let-7a-3	Breast Neoplasms	22081076	LIN28: A regulator of tumor-suppressing activity of let-7 microRNA in human breast cancer.
lncRNA target	hsa-let-7c	Breast Neoplasms	22081076	LIN28: A regulator of tumor-suppressing activity of let-7 microRNA in human breast cancer.
lncRNA target	hsa-let-7d	Breast Neoplasms	22081076	LIN28: A regulator of tumor-suppressing activity of let-7 microRNA in human breast cancer.
lncRNA target	hsa-let-7f-1	Breast Neoplasms	22081076	LIN28: A regulator of tumor-suppressing activity of let-7 microRNA in human breast cancer.
lncRNA target	hsa-let-7f-2	Breast Neoplasms	22081076	LIN28: A regulator of tumor-suppressing activity of let-7 microRNA in human breast cancer.
lncRNA target	hsa-let-7a-1	Breast Neoplasms	22808086	"Lin28 Mediates Paclitaxel Resistance by Modulating p21, Rb and Let-7a miRNA in Breast Cancer Cells."
lncRNA target	hsa-let-7a-2	Breast Neoplasms	22808086	"Lin28 Mediates Paclitaxel Resistance by Modulating p21, Rb and Let-7a miRNA in Breast Cancer Cells."
lncRNA target	hsa-let-7a-3	Breast Neoplasms	22808086	"Lin28 Mediates Paclitaxel Resistance by Modulating p21, Rb and Let-7a miRNA in Breast Cancer Cells."
lncRNA target	hsa-let-7	Perlman Syndrome	23594738	A role for the Perlman syndrome exonuclease Dis3l2 in the Lin28-let-7 pathway.
lncRNA target	hsa-mir-221	Atherosclerosis	23697773	"We further discovered that an Ang II-regulated lncRNA functions as the host transcript for miR-221 and miR-222, 2 microRNAs implicated in cell proliferation. "
lncRNA target	hsa-mir-675	Gastric Neoplasms	24388988	The long non-coding RNA H19-derived miR-675 modulates human gastric cancer cell proliferation by targeting tumor suppressor RUNX1.
lncRNA target	hsa-mir-675	Glioma	24466011	Long non-coding RNA H19 promotes glioma cell invasion by deriving miR-675.
lncRNA target	hsa-mir-21	Osteoarthritis	25196583	"A long non-coding RNA, GAS5, plays a critical role in the regulation of miR-21 during osteoarthritis."
lncRNA target	hsa-mir-216b	"Carcinoma, Hepatocellular"	25760077	Upregulated lncRNA-UCA1 contributes to progression of hepatocellular carcinoma through inhibition of miR-216b and activation of FGFR1/ERK signaling pathway.
lncRNA target	hsa-mir-193a	"Leukemia, Myeloid, Acute"	25979172	Long non-coding RNA HOTAIR modulates c-KIT expression through sponging miR-193a in acute myeloid leukemia.
lncRNA target	hsa-mir-200c	Gastric Neoplasms	25986864	LncRNA-ATB plays an important role in EMT to promote invasion and metastasis through the TGF-Î²/miR-200s/ZEB axis
lncRNA target	hsa-let-7	Melanoma	26071398	"we discovered that Lin28B, a well-characterized inhibitor of let-7 miRNA biogenesis, was a direct target of miR-125a-5p in melanoma."
lncRNA target	hsa-mir-107	Neoplasms [unspecific]	26158177	Lin28 could mediate cancer chemotherapy resistance via regulation of miR107 and Let-7 MiRNA.
lncRNA target	hsa-mir-152	Gastric Neoplasms	26187665	Long non-coding RNA HOTAIR promotes HLA-G expression via inhibiting miR-152 in gastric cancer cells.
lncRNA target	hsa-mir-145	Cervical Neoplasms	26311052	Long non-coding RNA MALAT1 modulates radiosensitivity of HR-HPV+ cervical cancer via sponging miR-145.
lncRNA target	hsa-let-7	Neoplasms [unspecific]	26440890	These findings refine the current model of let-7 regulation by LIN28 proteins and have important implications for understanding the LIN28/let-7 axis in development and disease.
lncRNA target	hsa-mir-222	Liver Fibrosis	26446789	GAS5 could directly bind to miR-222.
lncRNA target	hsa-mir-141	"Carcinoma, Renal Cell, Clear-Cell"	26461224	LncRNA MALAT1 functions as a competing endogenous RNA to regulate ZEB2 expression by sponging miR-200s in clear cell kidney carcinoma.
lncRNA target	hsa-mir-200a	"Carcinoma, Renal Cell, Clear-Cell"	26461224	LncRNA MALAT1 functions as a competing endogenous RNA to regulate ZEB2 expression by sponging miR-200s in clear cell kidney carcinoma.
lncRNA target	hsa-mir-200b	"Carcinoma, Renal Cell, Clear-Cell"	26461224	LncRNA MALAT1 functions as a competing endogenous RNA to regulate ZEB2 expression by sponging miR-200s in clear cell kidney carcinoma.
lncRNA target	hsa-mir-200c	"Carcinoma, Renal Cell, Clear-Cell"	26461224	LncRNA MALAT1 functions as a competing endogenous RNA to regulate ZEB2 expression by sponging miR-200s in clear cell kidney carcinoma.
lncRNA target	hsa-mir-429	"Carcinoma, Renal Cell, Clear-Cell"	26461224	LncRNA MALAT1 functions as a competing endogenous RNA to regulate ZEB2 expression by sponging miR-200s in clear cell kidney carcinoma.
lncRNA target	hsa-mir-103	"Carcinoma, Endometrial"	26511107	"In summary, we demonstrate that GAS5 acts as an tumor suppressor lncRNA in endometrial cancer. Through inhibiting the expression of miR-103, GAS5 significantly enhanced the expression of PTEN to promote cancer cell apoptosis,and, thus, could be an important mediator in the pathogenesis of endometrial cancer."
lncRNA target	hsa-mir-320a	Embryonal Testis Carcinoma	26539909	"The accumulation of NLC1-C in the nucleus repressed miR-320a and miR-383 transcript and promoted testicular embryonal carcinoma cell proliferation by binding to Nucleolin. Here, we define a novel mechanism by which lncRNAs modulate miRNA expression at the transcriptional level by binding to RNA-binding proteins to regulate human spermatogenesis."
lncRNA target	hsa-mir-193b	"Adenocarcinoma, Pancreatic Ductal"	26549028	MIR31HG is negatively regulated by miR-193b.
lncRNA target	hsa-mir-107	Gastric Neoplasms	26636340	Our results suggest that the Lin28/miR-107 pathway could be one of many signaling pathways regulated by Lin28 and associated with gastric cancer chemo-resistance.
lncRNA target	hsa-mir-145	Pancreatic Neoplasms	26636540	ROR functions as a ceRNA to regulate Nanog expression by sponging miR-145 and predicts poor prognosis in pancreatic cancer.
lncRNA target	hsa-mir-194	"Carcinoma, Gallbladder"	26803515	"overexpression of H19 in GBC-SD cells downregulated miR-194-5p and markedly increased AKT2 expression, and miR-194-5p mimic reversed these effects."
lncRNA target	hsa-mir-485	Ovarian Neoplasms	26867765	UCA1 could function as an endogenous sponge by directly binding to miR-485-5p.
lncRNA target	hsa-mir-9	Atherosclerosis	26981838	HULC regulated TNF-Î±-induced apoptosis through regulation of miR-9 expression.
lncRNA target	hsa-mir-10a	"Carcinoma, Hepatocellular"	27002617	Long non-coding RNA TUSC7 acts a molecular sponge for miR-10a and suppresses EMT in hepatocellular carcinoma.
lncRNA target	hsa-mir-204	"Carcinoma, Nasopharyngeal"	27020592	The long non-coding RNA NEAT1 regulates epithelial to mesenchymal transition and radioresistance in through miR-204/ZEB1 axis in nasopharyngeal carcinoma.
lncRNA target	hsa-mir-384	Glioma	27058823	"Moreover, CRNDE promoted cell malignant behavior by decreasing miR-384 expression."
lncRNA target	hsa-mir-374a	"Carcinoma, Hepatocellular"	27065331	Long noncoding RNA FTX inhibits hepatocellular carcinoma proliferation and metastasis by binding MCM2 and miR-374a.
lncRNA target	hsa-mir-145	Colon Neoplasms	27071407	"Knockdown of lincRNA-ROR restored the expression of miR-145, and had a significant influence on colon cancer cell proliferation, migration and invasion."
lncRNA target	hsa-mir-206	Gastric Neoplasms	27192121	"Acting as a miR-206 sponge, RMRP modulated cell cycle by regulating Cyclin D2 expression."
