Name	RawCount	Condition	Log10 Count
hsa-miR-1-3p	5670951.312	Young	6.753655919
hsa-miR-26a-5p	132564.2851	Young	5.122426534
hsa-miR-378a-3p	122913.2072	Young	5.089598551
hsa-let-7f-5p	100319.9077	Young	5.001387124
hsa-miR-206	89093.10606	Young	4.9498441
hsa-let-7g-5p	70900.27574	Young	4.850647924
hsa-miR-148a-3p	57774.77193	Young	4.76173824
hsa-let-7i-5p	48745.56391	Young	4.687935099
hsa-let-7a-5p	40525.87978	Young	4.607732452
hsa-miR-126-3p	33271.82536	Young	4.522076628
hsa-miR-27b-3p	30337.33287	Young	4.481977397
hsa-miR-143-3p	19601.33305	Young	4.292285608
hsa-miR-486-5p	18903.85913	Young	4.276550472
hsa-miR-30c-5p	17816.46861	Young	4.250821627
hsa-miR-151a-3p	8843.720446	Young	3.946635006
hsa-let-7b-5p	7438.630323	Young	3.871492976
hsa-miR-92a-3p	6339.018277	Young	3.802022004
hsa-miR-22-3p	6184.444581	Young	3.791300702
hsa-miR-24-3p	5245.399542	Young	3.719778574
hsa-miR-95-3p	4824.266739	Young	3.683431312
hsa-miR-99a-5p	4791.176308	Young	3.680442153
hsa-miR-21-5p	3958.644798	Young	3.597546535
hsa-let-7d-5p	3477.17817	Young	3.541226944
hsa-miR-30a-3p	3477.165973	Young	3.541225421
hsa-miR-133a-3p	3272.104087	Young	3.51482711
hsa-miR-499a-5p	3062.316496	Young	3.486050074
hsa-miR-26b-5p	2857.051167	Young	3.455918018
hsa-let-7c-5p	2842.069601	Young	3.453634709
hsa-miR-10b-5p	2734.33096	Young	3.43685108
hsa-miR-25-3p	2536.186487	Young	3.404181184
hsa-miR-30e-3p	2524.141578	Young	3.402113711
hsa-miR-101-3p	2407.105209	Young	3.381495073
hsa-miR-423-3p	1506.108672	Young	3.177856309
hsa-miR-100-5p	1478.189815	Young	3.169730206
hsa-miR-103a-3p	1400.94854	Young	3.146422183
hsa-miR-10a-5p	1348.681629	Young	3.129909442
hsa-miR-139-5p	1290.401203	Young	3.110724759
hsa-miR-125b-5p	1224.722545	Young	3.088037713
hsa-miR-423-5p	1152.603652	Young	3.061679991
hsa-miR-328-3p	1059.523685	Young	3.02511067
hsa-miR-98-5p	1046.644835	Young	3.019799335
hsa-miR-191-5p	1039.555026	Young	3.016847483
hsa-miR-148b-3p	1039.415266	Young	3.016789091
hsa-miR-133a-5p	1038.914347	Young	3.016579744
hsa-miR-532-5p	1021.642628	Young	3.009299005
hsa-miR-199b-3p	998.8783583	Young	2.999512604
hsa-let-7d-3p	920.6044383	Young	2.964073064
hsa-miR-20a-5p	801.1128305	Young	2.903693687
hsa-miR-7-5p	791.26233	Young	2.898320491
hsa-miR-378a-5p	776.8177911	Young	2.890319163
hsa-miR-381-3p	736.7323194	Young	2.867309722
hsa-miR-363-3p	724.7543462	Young	2.860190828
hsa-miR-185-5p	679.4519755	Young	2.832158766
hsa-miR-23b-3p	633.9577797	Young	2.802060336
hsa-miR-152-3p	626.4554556	Young	2.796890196
hsa-let-7e-5p	532.2905723	Young	2.726148774
hsa-miR-196a-5p	509.7772661	Young	2.707380464
hsa-miR-29a-3p	475.6003044	Young	2.677242124
hsa-miR-146b-5p	446.2864592	Young	2.64961371
hsa-miR-127-3p	441.4365827	Young	2.644868321
hsa-miR-340-5p	406.4379495	Young	2.608994252
hsa-miR-199b-5p	396.3874516	Young	2.598119898
hsa-miR-182-5p	381.2888343	Young	2.581254088
hsa-miR-27a-3p	377.8779045	Young	2.577351498
hsa-miR-197-3p	337.6981647	Young	2.5285287
hsa-miR-340-3p	330.9432977	Young	2.51975359
hsa-miR-181a-2-3p	329.9197269	Young	2.518408284
hsa-miR-144-3p	319.7685434	Young	2.504835739
hsa-miR-181a-5p	319.2656775	Young	2.504152232
hsa-miR-320a-3p	312.0428259	Young	2.494214202
hsa-miR-379-5p	303.7387363	Young	2.482500182
hsa-miR-504-5p	290.360487	Young	2.462937516
hsa-miR-451a	288.1948581	Young	2.459686228
hsa-miR-370-3p	287.4314743	Young	2.458534323
hsa-miR-199a-5p	272.7586025	Young	2.435778457
hsa-miR-885-5p	262.8095526	Young	2.419641147
hsa-miR-145-5p	256.97308	Young	2.40988763
hsa-miR-126-5p	256.8432172	Young	2.409668101
hsa-miR-186-5p	236.2596494	Young	2.373389555
hsa-miR-93-5p	230.364099	Young	2.362414798
hsa-miR-183-5p	214.9940523	Young	2.332426446
hsa-miR-218-5p	214.4776753	Young	2.331382094
hsa-miR-615-3p	199.9367754	Young	2.300892684
hsa-miR-30c-2-3p	197.7138099	Young	2.296037005
hsa-miR-16-5p	195.7775385	Young	2.291762864
hsa-miR-27b-5p	186.5680551	Young	2.270837284
hsa-miR-365a-3p	174.6548982	Young	2.24218077
