Pubmed_id	Year	Title	Key_words	Cite_by
35528540	2022	Generalized Multiphase Dynamic Modeling and Precision Interaction Force Control of a Walking Lower Limb Hydraulic Exoskeleton.	[]	0
35524032	2022	Base of tongue metastasis of cutaneous malignant melanoma with rhabdoid and neuroendocrine features: Report of a rare case and review of the literature.	[]	0
35521724	2022	Health issues in women and girls affected by haemophilia with a focus on nomenclature, heavy menstrual bleeding, and musculoskeletal issues.	[]	0
35520024	2022	Wilms' tumour with spinal cord involvement.	[]	0
35503636	2022	Characteristics and surgical treatment of recurrence melanoma of the foot: a case report and brief literature review.	[]	0
35499485	2022	2-Hydroxy-4-methoxybenzyl as a Thiol-Protecting Group for Directed-Disulfide Bond Formation.	[]	0
35499412	2022	Cutaneous perivascular epithelioid cell tumor (PEComa): case report and world literature review of clinical and molecular characteristics.	[]	0
35489293	2022	Effect of the odour compound from Periploca sepium Bunge on the physiological and biochemical indices, photosynthesis and ultrastructure of the leaves of Humulus scandens (Lour.) Merr.	[]	0
35482504	2022	Assessment of Iron Status in Adolescents Presenting to the Emergency Department With Heavy Menstrual Bleeding.	[]	0
35433268	2022	Unique presentation of retroperitoneal malignant perivascular epithelioid cell tumor (PEComa) in a young male.	[]	0
35430143	2022	Does a Bleeding Disorder Lessen the Efficacy of the 52-mg Levonorgestrel-Releasing Intrauterine System for Heavy Menstrual Bleeding in Adolescents? A Retrospective Multicenter Study.	[]	0
35415708	2022	The Burden of Uterine Fibroids from the Perspective of US Women Participating in Open-Ended Interviews.	[]	0
35402151	2022	Muscle-building behaviors from adolescence to emerging adulthood: A prospective cohort study.	[]	0
35386919	2022	Mammary Paget Disease With Melanocytic Proliferation Mimicking Malignant Melanoma 	[]	0
35386380	2022	How does the extent of fibrosis in adenomyosis lesions contribute to heavy menstrual bleeding?	[]	0
35334853	2022	Biomarker Changes in Response to a 12-Week Supplementation of an Oral Nutritional Supplement Enriched with Protein, Vitamin D and HMB in Malnourished Community Dwelling Older Adults with Sarcopenia.	[]	0
35330669	2022	Pulmonary lymphangioleiomyomatosis (LAM): A literature overview and case report.	[]	0
35307614	2022	Symptom-related Ki-67 expression in endometrial polyps.	[]	0
35301826	2022	Effects of β-hydroxy β-methylbutyrate (HMB) supplementation on muscle mass, function, and other outcomes in patients with cancer: a systematic review.	[]	0
35301816	2022	Mapping ongoing nutrition intervention trials in muscle, sarcopenia, and cachexia: a scoping review of future research.	[]	0
35288513	2022	β-Hydroxy-β-Methylbutyrate Supplementation May Not Enhance Additional Effects of Exercise on Muscle Quality in Older Women.	[]	0
35277213	2022	Experience With the Use of Baricitinib and Tocilizumab Monotherapy or Combined, in Patients With Interstitial Pneumonia Secondary to Coronavirus COVID19: A Real-World Study.	[]	0
35268065	2022	Effects of β-Hydroxy β-Methylbutyrate Supplementation on Working Memory and Hippocampal Long-Term Potentiation in Rodents.	[]	0
35267320	2022	Nutrients against Glucocorticoid-Induced Muscle Atrophy.	[]	0
35255441	2022	Metastatic melanoma in the breast and axilla: A case report.	[]	0
35232443	2022	TFE3-associated perivascular epithelioid cell tumor with complete response to mTOR inhibitor therapy: report of first case and literature review.	[]	0
35228494	2022	Long-Term Habitual Exercise and Combination of β-Hydroxy-β-Methylbutyrate plus Black Ginger Alter the Autophagy and Mitochondria Related Genes in SAMP8 Mice.	[]	0
35214466	2022	Two Models for Time-Domain Simulation of Hybrid Magnetic Bearing's Characteristics.	[]	0
35195339	2022	Effect of Resistance Training Combined with Beta-Hydroxy-Beta-Methylbutyric Acid Supplements in Elderly Patients with Sarcopenia after Hip Replacement.	[]	0
35185567	2022	Menstruation-Related Disorders-Dysmenorrhea and Heavy Bleeding-as Significant Epiphenomena in Women With Rheumatic Diseases.	[]	0
35170472	2022	Cutaneous Neurocristic Hamartoma Mimicking Basal Cell Carcinoma in a Patient With Xeroderma Pigmentosum.	[]	0
35165230	2022	Grief at the Heart of the Opioid Overdose Crisis: Past Lessons and Present Implications.	[]	0
35148750	2022	The effects of preoperative supplementation with a combination of beta-hydroxy-beta-methylbutyrate, arginine, and glutamine on inflammatory and hematological markers of patients with heart surgery: a randomized controlled trial.	[]	0
35145679	2022	Amelanotic nodular melanoma misdiagnosed as a benign skin lesion: A rare case report from Syria.	[]	0
35122888	2022	Acute dose toxicity evaluation of the food supplement calcium 3-hydroxy-3-methylbutyrate (HMB) in female Sprague Dawley rats.	[]	0
35107461	2022	Effects of different processing methods on the chlorophyll structure in kiwifruit.	[]	0
35104295	2022	Obesity and risk of female reproductive conditions: A Mendelian randomisation study.	[]	0
35101139	2022	β-Hydroxy-β-methylbutyrate (HMB) supplementation and functional outcomes in multi-trauma patients: a study protocol for a pilot randomised clinical trial (BOOST trial).	[]	0
35098778	2022	Primary Intranodal Epithelioid Hemangioendothelioma with Molecular Confirmation.	[]	0
35082206	2022	Establishment and characterization of a novel anorectal melanoma cell line derived from primary human rectal tumor.	[]	0
35068291	2022	An evaluation of relugolix/estradiol/norethindrone acetate for the treatment of heavy menstrual bleeding associated with uterine fibroids in premenopausal women.	[]	0
35060532	2022	A case report of a patient with inoperable primary diffuse leptomeningeal melanomatosis treated with whole-brain radiotherapy and pembrolizumab.	[]	0
35057966	2022	Silver(I)-selective impedimetric and potentiometric detection at 3-hydroxy-N-(4-mercaptophenyl)benzamide functionalized gold surface - Analysis of water and packaged food products.	[]	0
35057531	2022	Nutritional Approach to Cancer Cachexia: A Proposal for Dietitians.	[]	0
35056618	2022	Dietary Beta-Hydroxy-Beta-Methyl Butyrate Supplementation Inhibits Hepatic Fat Deposition via Regulating Gut Microbiota in Broiler Chickens.	[]	0
35048582	2022	[Access to donor human milk in Switzerland and CHUV's first human milk bank in Romandy : issues and perspectives].	[]	0
35033128	2022	Establishing a novel community-focussed lactation support service: a descriptive case series.	[]	0
35026669	2022	Spindle cell carcinoma of the lip: An immunohistochemical study of a challenging case.	[]	0
35026100	2021	Fibroid vascularisation assessed with 3D Power Doppler as predictor for fibroid related symptoms and quality of life; a pilot study.	[]	0
35019034	2022	Beta-hydroxy-beta-methylbutyrate associated with low-intensity exercise training improves skeletal muscle regeneration through the IGF-Akt pathway.	[]	0
35016807	2022	Immunohistochemistry in melanocytic lesions: Updates with a practical review for pathologists.	[]	0
35010730	2022	Effects of β-Hydroxy β-Methylbutyric Supplementation in Combination with Conservative Non-Invasive Treatments in Athletes with Patellar Tendinopathy: A Pilot Study.	[]	0
35005831	2022	Treatment of stable nonsegmental vitiligo using transdermal delivery of 5-fluorouracil by fractional CO	[]	0
35004180	2022	Primary myxoid leiomyosarcoma of renal pelvis: Case report and literature review.	[]	0
34961529	2021	Retinal granular cell tumor: a case report.	[]	0
34959907	2021	Effect on an Oral Nutritional Supplement with β-Hydroxy-β-methylbutyrate and Vitamin D on Morphofunctional Aspects, Body Composition, and Phase Angle in Malnourished Patients.	[]	1
34959851	2021	Recent Progress in Applicability of Exercise Immunology and Inflammation Research to Sports Nutrition.	[]	2
34958502	2022	Primary de-differentiated, trans-differentiated and undifferentiated melanomas: overview of the clinicopathological, immunohistochemical and molecular spectrum.	[]	0
34951742	2022	Fine-needle aspiration cytological findings in three cases of metastatic amelanotic melanoma to the parotid gland with divergent differentiation.	[]	0
34944981	2021	β-Hydroxy-β-Methylbutyrate Supplementation Promotes Antitumor Immunity in an Obesity Responsive Mouse Model of Pancreatic Ductal Adenocarcinoma.	[]	0
34943200	2021	Cutaneous Melanocytic Tumor with 	[]	0
34938712	2021	The Effect of Pandemic Movement Restriction Policies on Children's Physical Fitness, Activity, Screen Time, and Sleep.	[]	1
34937852	2022	HMB and leucine supplementation during critical illness and recovery.	[]	0
34918628	2021	Leiomyomatosis-like lymphangioleiomyomatosis: A case report of the colonic manifestation of tuberous sclerosis.	[]	0
